"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1536","Traffic Zone 222420000","21","Traffic Zone 213700000","11/15/2018 - 11/15/2018, Every day, Daily Average",3173,1891,5323
"1536","Traffic Zone 222420000","30","Traffic Zone 213720100","11/15/2018 - 11/15/2018, Every day, Daily Average",3006,1822,4959
"1536","Traffic Zone 222420000","41","Traffic Zone 213710201","11/15/2018 - 11/15/2018, Every day, Daily Average",2959,1780,4918
"1536","Traffic Zone 222420000","53","Traffic Zone 213710202","11/15/2018 - 11/15/2018, Every day, Daily Average",2588,1587,4219
"1536","Traffic Zone 222420000","62","Traffic Zone 213710200","11/15/2018 - 11/15/2018, Every day, Daily Average",2870,1634,5038
"1536","Traffic Zone 222420000","83","Traffic Zone 213930100","11/15/2018 - 11/15/2018, Every day, Daily Average",2564,1510,4352
"1536","Traffic Zone 222420000","95","Traffic Zone 213930200","11/15/2018 - 11/15/2018, Every day, Daily Average",2542,1489,4338
"1536","Traffic Zone 222420000","98","Traffic Zone 213930300","11/15/2018 - 11/15/2018, Every day, Daily Average",2520,1471,4316
"1536","Traffic Zone 222420000","107","Traffic Zone 213920000","11/15/2018 - 11/15/2018, Every day, Daily Average",2483,1441,4277
"1536","Traffic Zone 222420000","109","Traffic Zone 211510200","11/15/2018 - 11/15/2018, Every day, Daily Average",3090,2344,4071
"1536","Traffic Zone 222420000","122","Traffic Zone 211730200","11/15/2018 - 11/15/2018, Every day, Daily Average",3158,2389,4173
"1536","Traffic Zone 222420000","123","Traffic Zone 213900000","11/15/2018 - 11/15/2018, Every day, Daily Average",2071,1227,3493
"1536","Traffic Zone 222420000","127","Traffic Zone 212751001","11/15/2018 - 11/15/2018, Every day, Daily Average",1930,1331,2798
"1536","Traffic Zone 222420000","128","Traffic Zone 212760200","11/15/2018 - 11/15/2018, Every day, Daily Average",1903,1248,2900
"1536","Traffic Zone 222420000","129","Traffic Zone 214150000","11/15/2018 - 11/15/2018, Every day, Daily Average",2340,1110,4929
"1536","Traffic Zone 222420000","130","Traffic Zone 212760100","11/15/2018 - 11/15/2018, Every day, Daily Average",1826,1218,2736
"1536","Traffic Zone 222420000","131","Traffic Zone 211740400","11/15/2018 - 11/15/2018, Every day, Daily Average",2025,1365,3003
"1536","Traffic Zone 222420000","133","Traffic Zone 214140000","11/15/2018 - 11/15/2018, Every day, Daily Average",1915,1084,3380
"1536","Traffic Zone 222420000","134","Traffic Zone 211720000","11/15/2018 - 11/15/2018, Every day, Daily Average",2527,1865,3422
"1536","Traffic Zone 222420000","135","Traffic Zone 212730000","11/15/2018 - 11/15/2018, Every day, Daily Average",1661,1199,2299
"1536","Traffic Zone 222420000","136","Traffic Zone 212771000","11/15/2018 - 11/15/2018, Every day, Daily Average",1911,1309,2788
"1536","Traffic Zone 222420000","137","Traffic Zone 211740600","11/15/2018 - 11/15/2018, Every day, Daily Average",1951,1360,2797
"1536","Traffic Zone 222420000","140","Traffic Zone 214130200","11/15/2018 - 11/15/2018, Every day, Daily Average",2391,1217,4697
"1536","Traffic Zone 222420000","145","Traffic Zone 212840000","11/15/2018 - 11/15/2018, Every day, Daily Average",2214,1362,3597
"1536","Traffic Zone 222420000","147","Traffic Zone 214160000","11/15/2018 - 11/15/2018, Every day, Daily Average",2459,1138,5310
"1536","Traffic Zone 222420000","148","Traffic Zone 212891000","11/15/2018 - 11/15/2018, Every day, Daily Average",1700,1186,2435
"1536","Traffic Zone 222420000","150","Traffic Zone 212880000","11/15/2018 - 11/15/2018, Every day, Daily Average",2163,1348,3468
"1536","Traffic Zone 222420000","156","Traffic Zone 214130100","11/15/2018 - 11/15/2018, Every day, Daily Average",3498,1642,7447
"1536","Traffic Zone 222420000","164","Traffic Zone 212850000","11/15/2018 - 11/15/2018, Every day, Daily Average",4434,2147,9156
"1536","Traffic Zone 222420000","169","Traffic Zone 214120000","11/15/2018 - 11/15/2018, Every day, Daily Average",3043,1545,5991
"1536","Traffic Zone 222420000","170","Traffic Zone 212870200","11/15/2018 - 11/15/2018, Every day, Daily Average",1840,1133,2986
"1536","Traffic Zone 222420000","179","Traffic Zone 214110000","11/15/2018 - 11/15/2018, Every day, Daily Average",1827,1290,2587
"1536","Traffic Zone 222420000","181","Traffic Zone 212460000","11/15/2018 - 11/15/2018, Every day, Daily Average",1613,1081,2405
"1536","Traffic Zone 222420000","185","Traffic Zone 212352000","11/15/2018 - 11/15/2018, Every day, Daily Average",1602,1160,2211
"1536","Traffic Zone 222420000","188","Traffic Zone 212342000","11/15/2018 - 11/15/2018, Every day, Daily Average",1850,1242,2753
"1536","Traffic Zone 222420000","189","Traffic Zone 212200000","11/15/2018 - 11/15/2018, Every day, Daily Average",1865,1416,2455
"1536","Traffic Zone 222420000","191","Traffic Zone 212470000","11/15/2018 - 11/15/2018, Every day, Daily Average",1565,1036,2363
"1536","Traffic Zone 222420000","193","Traffic Zone 214340000","11/15/2018 - 11/15/2018, Every day, Daily Average",1535,1044,2256
"1536","Traffic Zone 222420000","194","Traffic Zone 214350000","11/15/2018 - 11/15/2018, Every day, Daily Average",2145,1435,3205
"1536","Traffic Zone 222420000","196","Traffic Zone 212370000","11/15/2018 - 11/15/2018, Every day, Daily Average",1658,1124,2443
"1536","Traffic Zone 222420000","197","Traffic Zone 212160000","11/15/2018 - 11/15/2018, Every day, Daily Average",1785,1321,2411
"1536","Traffic Zone 222420000","198","Traffic Zone 212330400","11/15/2018 - 11/15/2018, Every day, Daily Average",1818,1312,2517
"1536","Traffic Zone 222420000","200","Traffic Zone 212102000","11/15/2018 - 11/15/2018, Every day, Daily Average",1862,1481,2340
"1536","Traffic Zone 222420000","201","Traffic Zone 212101000","11/15/2018 - 11/15/2018, Every day, Daily Average",1869,1412,2472
"1536","Traffic Zone 222420000","203","Traffic Zone 212330100","11/15/2018 - 11/15/2018, Every day, Daily Average",1907,1440,2525
"1536","Traffic Zone 222420000","204","Traffic Zone 212380000","11/15/2018 - 11/15/2018, Every day, Daily Average",1719,1238,2385
"1536","Traffic Zone 222420000","205","Traffic Zone 214390100","11/15/2018 - 11/15/2018, Every day, Daily Average",2347,1453,3790
"1536","Traffic Zone 222420000","207","Traffic Zone 212510000","11/15/2018 - 11/15/2018, Every day, Daily Average",1681,1156,2444
"1536","Traffic Zone 222420000","208","Traffic Zone 212390000","11/15/2018 - 11/15/2018, Every day, Daily Average",1698,1182,2438
"1536","Traffic Zone 222420000","209","Traffic Zone 212320300","11/15/2018 - 11/15/2018, Every day, Daily Average",1821,1423,2329
"1536","Traffic Zone 222420000","212","Traffic Zone 212122000","11/15/2018 - 11/15/2018, Every day, Daily Average",2192,1512,3177
"1536","Traffic Zone 222420000","213","Traffic Zone 214360200","11/15/2018 - 11/15/2018, Every day, Daily Average",1629,1138,2331
"1536","Traffic Zone 222420000","214","Traffic Zone 214330000","11/15/2018 - 11/15/2018, Every day, Daily Average",1462,1001,2133
"1536","Traffic Zone 222420000","215","Traffic Zone 212520000","11/15/2018 - 11/15/2018, Every day, Daily Average",1616,1074,2429
"1536","Traffic Zone 222420000","216","Traffic Zone 212410200","11/15/2018 - 11/15/2018, Every day, Daily Average",1370,1144,1640
