"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1536","Traffic Zone 222420000","30","Traffic Zone 213720100","11/29/2016 - 11/29/2016, Every day, Daily Average",2186,1646,2902
"1536","Traffic Zone 222420000","41","Traffic Zone 213710201","11/29/2016 - 11/29/2016, Every day, Daily Average",2133,1612,2821
"1536","Traffic Zone 222420000","53","Traffic Zone 213710202","11/29/2016 - 11/29/2016, Every day, Daily Average",2655,1708,4125
"1536","Traffic Zone 222420000","62","Traffic Zone 213710200","11/29/2016 - 11/29/2016, Every day, Daily Average",2512,1633,3863
"1536","Traffic Zone 222420000","83","Traffic Zone 213930100","11/29/2016 - 11/29/2016, Every day, Daily Average",2419,1557,3756
"1536","Traffic Zone 222420000","95","Traffic Zone 213930200","11/29/2016 - 11/29/2016, Every day, Daily Average",2286,1469,3555
"1536","Traffic Zone 222420000","98","Traffic Zone 213930300","11/29/2016 - 11/29/2016, Every day, Daily Average",2408,1515,3826
"1536","Traffic Zone 222420000","107","Traffic Zone 213920000","11/29/2016 - 11/29/2016, Every day, Daily Average",2360,1481,3758
"1536","Traffic Zone 222420000","123","Traffic Zone 213900000","11/29/2016 - 11/29/2016, Every day, Daily Average",2214,1451,3377
"1536","Traffic Zone 222420000","133","Traffic Zone 214140000","11/29/2016 - 11/29/2016, Every day, Daily Average",2104,1368,3234
"1536","Traffic Zone 222420000","135","Traffic Zone 212730000","11/29/2016 - 11/29/2016, Every day, Daily Average",2378,1582,3572
"1536","Traffic Zone 222420000","136","Traffic Zone 212771000","11/29/2016 - 11/29/2016, Every day, Daily Average",2325,1537,3515
"1536","Traffic Zone 222420000","140","Traffic Zone 214130200","11/29/2016 - 11/29/2016, Every day, Daily Average",2173,1340,3522
"1536","Traffic Zone 222420000","147","Traffic Zone 214160000","11/29/2016 - 11/29/2016, Every day, Daily Average",2180,1405,3382
"1536","Traffic Zone 222420000","148","Traffic Zone 212891000","11/29/2016 - 11/29/2016, Every day, Daily Average",1917,1223,3004
"1536","Traffic Zone 222420000","170","Traffic Zone 212870200","11/29/2016 - 11/29/2016, Every day, Daily Average",1736,1111,2710
"1536","Traffic Zone 222420000","181","Traffic Zone 212460000","11/29/2016 - 11/29/2016, Every day, Daily Average",1681,1082,2609
"1536","Traffic Zone 222420000","189","Traffic Zone 212200000","11/29/2016 - 11/29/2016, Every day, Daily Average",1466,981,2188
"1536","Traffic Zone 222420000","191","Traffic Zone 212470000","11/29/2016 - 11/29/2016, Every day, Daily Average",1675,1081,2595
"1536","Traffic Zone 222420000","193","Traffic Zone 214340000","11/29/2016 - 11/29/2016, Every day, Daily Average",1566,1017,2410
"1536","Traffic Zone 222420000","197","Traffic Zone 212160000","11/29/2016 - 11/29/2016, Every day, Daily Average",1426,942,2157
"1536","Traffic Zone 222420000","198","Traffic Zone 212330400","11/29/2016 - 11/29/2016, Every day, Daily Average",1328,877,2010
"1536","Traffic Zone 222420000","200","Traffic Zone 212102000","11/29/2016 - 11/29/2016, Every day, Daily Average",1117,936,1332
"1536","Traffic Zone 222420000","201","Traffic Zone 212101000","11/29/2016 - 11/29/2016, Every day, Daily Average",1481,990,2213
"1536","Traffic Zone 222420000","203","Traffic Zone 212330100","11/29/2016 - 11/29/2016, Every day, Daily Average",1251,891,1755
"1536","Traffic Zone 222420000","204","Traffic Zone 212380000","11/29/2016 - 11/29/2016, Every day, Daily Average",1423,953,2123
"1536","Traffic Zone 222420000","207","Traffic Zone 212510000","11/29/2016 - 11/29/2016, Every day, Daily Average",1461,941,2267
"1536","Traffic Zone 222420000","208","Traffic Zone 212390000","11/29/2016 - 11/29/2016, Every day, Daily Average",1380,935,2035
"1536","Traffic Zone 222420000","212","Traffic Zone 212122000","11/29/2016 - 11/29/2016, Every day, Daily Average",1709,1442,2025
"1536","Traffic Zone 222420000","214","Traffic Zone 214330000","11/29/2016 - 11/29/2016, Every day, Daily Average",1285,849,1944
"1536","Traffic Zone 222420000","215","Traffic Zone 212520000","11/29/2016 - 11/29/2016, Every day, Daily Average",1300,882,1915
"1536","Traffic Zone 222420000","216","Traffic Zone 212410200","11/29/2016 - 11/29/2016, Every day, Daily Average",1571,1051,2347
"1536","Traffic Zone 222420000","221","Traffic Zone 214380000","11/29/2016 - 11/29/2016, Every day, Daily Average",1282,873,1880
"1536","Traffic Zone 222420000","222","Traffic Zone 212420200","11/29/2016 - 11/29/2016, Every day, Daily Average",1708,1057,2759
"1536","Traffic Zone 222420000","226","Traffic Zone 212540000","11/29/2016 - 11/29/2016, Every day, Daily Average",1369,910,2058
"1536","Traffic Zone 222420000","227","Traffic Zone 214320000","11/29/2016 - 11/29/2016, Every day, Daily Average",1242,810,1902
"1536","Traffic Zone 222420000","229","Traffic Zone 214360100","11/29/2016 - 11/29/2016, Every day, Daily Average",1164,762,1775
"1536","Traffic Zone 222420000","231","Traffic Zone 212532000","11/29/2016 - 11/29/2016, Every day, Daily Average",1699,1168,2469
"1536","Traffic Zone 222420000","232","Traffic Zone 212531000","11/29/2016 - 11/29/2016, Every day, Daily Average",1660,1176,2341
"1536","Traffic Zone 222420000","233","Traffic Zone 212550000","11/29/2016 - 11/29/2016, Every day, Daily Average",1512,1088,2100
"1536","Traffic Zone 222420000","238","Traffic Zone 231050001","11/29/2016 - 11/29/2016, Every day, Daily Average",2306,1327,4005
"1536","Traffic Zone 222420000","239","Traffic Zone 212220000","11/29/2016 - 11/29/2016, Every day, Daily Average",1604,1205,2134
"1536","Traffic Zone 222420000","240","Traffic Zone 214370000","11/29/2016 - 11/29/2016, Every day, Daily Average",1123,719,1751
"1536","Traffic Zone 222420000","241","Traffic Zone 214310000","11/29/2016 - 11/29/2016, Every day, Daily Average",1635,999,2674
"1536","Traffic Zone 222420000","242","Traffic Zone 212560000","11/29/2016 - 11/29/2016, Every day, Daily Average",1486,1055,2093
"1536","Traffic Zone 222420000","244","Traffic Zone 232000000","11/29/2016 - 11/29/2016, Every day, Daily Average",1215,827,1784
"1536","Traffic Zone 222420000","247","Traffic Zone 231160002","11/29/2016 - 11/29/2016, Every day, Daily Average",1847,1240,2749
"1536","Traffic Zone 222420000","250","Traffic Zone 231050000","11/29/2016 - 11/29/2016, Every day, Daily Average",1865,1169,2974
"1536","Traffic Zone 222420000","251","Traffic Zone 231160001","11/29/2016 - 11/29/2016, Every day, Daily Average",1360,1015,1820
"1536","Traffic Zone 222420000","252","Traffic Zone 231150000","11/29/2016 - 11/29/2016, Every day, Daily Average",1200,1021,1409
"1536","Traffic Zone 222420000","253","Traffic Zone 231040000","11/29/2016 - 11/29/2016, Every day, Daily Average",1533,984,2386
"1536","Traffic Zone 222420000","254","Traffic Zone 231160000","11/29/2016 - 11/29/2016, Every day, Daily Average",2043,1202,3472
"1536","Traffic Zone 222420000","255","Traffic Zone 231090000","11/29/2016 - 11/29/2016, Every day, Daily Average",1491,1169,1901
"1536","Traffic Zone 222420000","256","Traffic Zone 231060000","11/29/2016 - 11/29/2016, Every day, Daily Average",1367,915,2041
"1536","Traffic Zone 222420000","257","Traffic Zone 231080000","11/29/2016 - 11/29/2016, Every day, Daily Average",1341,1152,1560
"1536","Traffic Zone 222420000","258","Traffic Zone 231170000","11/29/2016 - 11/29/2016, Every day, Daily Average",1282,972,1690
"1536","Traffic Zone 222420000","260","Traffic Zone 231070100","11/29/2016 - 11/29/2016, Every day, Daily Average",1289,859,1933
"1536","Traffic Zone 222420000","262","Traffic Zone 231070201","11/29/2016 - 11/29/2016, Every day, Daily Average",1249,840,1855
"1536","Traffic Zone 222420000","263","Traffic Zone 231180000","11/29/2016 - 11/29/2016, Every day, Daily Average",1231,804,1884
"1536","Traffic Zone 222420000","264","Traffic Zone 231070200","11/29/2016 - 11/29/2016, Every day, Daily Average",1313,835,2064
"1536","Traffic Zone 222420000","266","Traffic Zone 231070300","11/29/2016 - 11/29/2016, Every day, Daily Average",1172,780,1759
"1536","Traffic Zone 222420000","282","Traffic Zone 211110000","11/29/2016 - 11/29/2016, Every day, Daily Average",2558,1770,3695
"1536","Traffic Zone 222420000","287","Traffic Zone 210930000","11/29/2016 - 11/29/2016, Every day, Daily Average",2457,1684,3582
"1536","Traffic Zone 222420000","295","Traffic Zone 210940000","11/29/2016 - 11/29/2016, Every day, Daily Average",2379,1617,3499
