"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1116","Harborwalk, Waterfront, Boston","3","0 Flaherty Way, D Street / West Broadway, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",545,363,817
"1116","Harborwalk, Waterfront, Boston","5","0 Queensberry Street, Fenway/Kenmore, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",716,467,1097
"1116","Harborwalk, Waterfront, Boston","13","200 Liberty Street, Braintree","11/18/2017 - 11/18/2017, Every day, Daily Average",1172,874,1571
"1116","Harborwalk, Waterfront, Boston","14","400 Cushing Street, Hingham","11/18/2017 - 11/18/2017, Every day, Daily Average",1561,1198,2033
"1116","Harborwalk, Waterfront, Boston","16","100 Kenrick Street, Oak Square, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",1293,1010,1654
"1116","Harborwalk, Waterfront, Boston","17","0 Maggi Road, Revere","11/18/2017 - 11/18/2017, Every day, Daily Average",820,575,1169
"1116","Harborwalk, Waterfront, Boston","18","0 Lake Street, Billerica","11/18/2017 - 11/18/2017, Every day, Daily Average",1784,1337,2379
"1116","Harborwalk, Waterfront, Boston","19","200 Ocean Street, Lynn","11/18/2017 - 11/18/2017, Every day, Daily Average",1411,1144,1739
"1116","Harborwalk, Waterfront, Boston","20","0 Florence Street, Everett","11/18/2017 - 11/18/2017, Every day, Daily Average",936,690,1269
"1116","Harborwalk, Waterfront, Boston","21","0 Canal Lane, Somerville","11/18/2017 - 11/18/2017, Every day, Daily Average",423,238,749
"1116","Harborwalk, Waterfront, Boston","27","100 Inner Belt Road, Inner Belt, Somerville","11/18/2017 - 11/18/2017, Every day, Daily Average",308,145,653
"1116","Harborwalk, Waterfront, Boston","28","0 Lincoln Road, Brookline","11/18/2017 - 11/18/2017, Every day, Daily Average",1302,987,1715
"1116","Harborwalk, Waterfront, Boston","29","100 Crosby Street, Arlington","11/18/2017 - 11/18/2017, Every day, Daily Average",988,718,1358
"1116","Harborwalk, Waterfront, Boston","32","0 Gainsborough Street, Fenway/Kenmore, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",876,593,1293
"1116","Harborwalk, Waterfront, Boston","33","200 Prospect Avenue, Revere","11/18/2017 - 11/18/2017, Every day, Daily Average",711,446,1132
"1116","Harborwalk, Waterfront, Boston","37","0 Perrin Street, Roxbury, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",929,642,1344
"1116","Harborwalk, Waterfront, Boston","38","McLean Street, Belmont","11/18/2017 - 11/18/2017, Every day, Daily Average",1403,1210,1626
"1116","Harborwalk, Waterfront, Boston","40","0 Aycliffe Road, Swampscott","11/18/2017 - 11/18/2017, Every day, Daily Average",1518,1247,1846
"1116","Harborwalk, Waterfront, Boston","41","200 Sumner Street, East Boston, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",374,230,606
"1116","Harborwalk, Waterfront, Boston","44","0 Georgetown Road, Boxford","11/18/2017 - 11/18/2017, Every day, Daily Average",2038,1744,2380
"1116","Harborwalk, Waterfront, Boston","46","300 River Street, Cambridgeport, Cambridge","11/18/2017 - 11/18/2017, Every day, Daily Average",927,653,1315
"1116","Harborwalk, Waterfront, Boston","47","200 Huntington Avenue, Prudential / St. Botolph, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",841,538,1313
"1116","Harborwalk, Waterfront, Boston","48","100 Gove Street, East Boston, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",360,207,625
"1116","Harborwalk, Waterfront, Boston","51","0 Peterborough Street, West Fens, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",713,463,1095
"1116","Harborwalk, Waterfront, Boston","52","0 Berkshire Street, Wellington-Harrington, Cambridge","11/18/2017 - 11/18/2017, Every day, Daily Average",786,539,1145
"1116","Harborwalk, Waterfront, Boston","53","600 Commonwealth Avenue, Fenway/Kenmore, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",641,402,1021
"1116","Harborwalk, Waterfront, Boston","54","0 Binney Street, Arefth, Cambridge","11/18/2017 - 11/18/2017, Every day, Daily Average",652,424,1000
"1116","Harborwalk, Waterfront, Boston","58","100 Summit Avenue, Corey Hill, Brookline","11/18/2017 - 11/18/2017, Every day, Daily Average",1127,807,1573
"1116","Harborwalk, Waterfront, Boston","60","Pilgrims Highway, Weymouth","11/18/2017 - 11/18/2017, Every day, Daily Average",1333,1018,1743
"1116","Harborwalk, Waterfront, Boston","62","200 Pond Street, Avon","11/18/2017 - 11/18/2017, Every day, Daily Average",1739,1247,2423
"1116","Harborwalk, Waterfront, Boston","65","0 Glen Road, Reading","11/18/2017 - 11/18/2017, Every day, Daily Average",1073,839,1370
"1116","Harborwalk, Waterfront, Boston","68","100 Beacon Street, Back Bay East, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",538,325,889
"1116","Harborwalk, Waterfront, Boston","69","0 Burrill Avenue, Lynn","11/18/2017 - 11/18/2017, Every day, Daily Average",1502,1207,1868
"1116","Harborwalk, Waterfront, Boston","72","0 Stonington Street, North Andover","11/18/2017 - 11/18/2017, Every day, Daily Average",1634,1510,1767
"1116","Harborwalk, Waterfront, Boston","74","700 Washington Street, Haverhill","11/18/2017 - 11/18/2017, Every day, Daily Average",1931,1829,2038
"1116","Harborwalk, Waterfront, Boston","77","0 The Mountain Road, Framingham","11/18/2017 - 11/18/2017, Every day, Daily Average",2012,1515,2670
"1116","Harborwalk, Waterfront, Boston","78","0 John Street, Woburn","11/18/2017 - 11/18/2017, Every day, Daily Average",1114,884,1402
"1116","Harborwalk, Waterfront, Boston","79","Massachusetts State House, Beacon Hill, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",209,67,648
"1116","Harborwalk, Waterfront, Boston","80","0 Bussell Road, West Medford, Medford","11/18/2017 - 11/18/2017, Every day, Daily Average",657,457,942
"1116","Harborwalk, Waterfront, Boston","82","100 Private Alley 527, South End, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",813,591,1117
"1116","Harborwalk, Waterfront, Boston","83","0 Golden Drive, Winthrop","11/18/2017 - 11/18/2017, Every day, Daily Average",1011,735,1389
"1116","Harborwalk, Waterfront, Boston","89","0 Cottage Street, Lynn","11/18/2017 - 11/18/2017, Every day, Daily Average",1815,1009,3263
"1116","Harborwalk, Waterfront, Boston","92","Southeast Expressway, Quincy","11/18/2017 - 11/18/2017, Every day, Daily Average",978,691,1384
"1116","Harborwalk, Waterfront, Boston","94","300 Marlborough Street, Back Bay, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",702,454,1083
"1116","Harborwalk, Waterfront, Boston","95","0 G Street, South Boston, Boston","11/18/2017 - 11/18/2017, Every day, Daily Average",672,479,940
"1116","Harborwalk, Waterfront, Boston","97","300 Bishops Forest Drive, Waltham","11/18/2017 - 11/18/2017, Every day, Daily Average",1504,1226,1844
"1116","Harborwalk, Waterfront, Boston","98","100 Suffolk Road, Chestnut Hill, Newton","11/18/2017 - 11/18/2017, Every day, Daily Average",1406,1061,1861
"1116","Harborwalk, Waterfront, Boston","105","100 Columbia Street, The Port, Cambridge","11/18/2017 - 11/18/2017, Every day, Daily Average",911,675,1229
"1116","Harborwalk, Waterfront, Boston","114","600 Western Avenue, Lynn","11/18/2017 - 11/18/2017, Every day, Daily Average",2039,1046,3971
"1116","Harborwalk, Waterfront, Boston","118","0 County Way Extension, Beverly","11/18/2017 - 11/18/2017, Every day, Daily Average",1751,1461,2098
"1116","Harborwalk, Waterfront, Boston","120","0 Cherrywood Circle, Andover","11/18/2017 - 11/18/2017, Every day, Daily Average",1572,1294,1908
"1116","Harborwalk, Waterfront, Boston","126","200 Paris Way, Woburn","11/18/2017 - 11/18/2017, Every day, Daily Average",1361,1085,1706
"1116","Harborwalk, Waterfront, Boston","127","200 Vinton Street, Melrose","11/18/2017 - 11/18/2017, Every day, Daily Average",939,779,1130
"1116","Harborwalk, Waterfront, Boston","128","100 Glen Street, Malden","11/18/2017 - 11/18/2017, Every day, Daily Average",942,682,1300
"1116","Harborwalk, Waterfront, Boston","129","0 Glendale Street, Everett","11/18/2017 - 11/18/2017, Every day, Daily Average",1044,750,1452
"1116","Harborwalk, Waterfront, Boston","130","0 Cambria Street, Spring Hill, Somerville","11/18/2017 - 11/18/2017, Every day, Daily Average",920,665,1271
"1116","Harborwalk, Waterfront, Boston","131","2000 Massachusetts Avenue, North Cambridge, Cambridge","11/18/2017 - 11/18/2017, Every day, Daily Average",1197,888,1613
"1116","Harborwalk, Waterfront, Boston","132","0 Townsend Road, Belmont","11/18/2017 - 11/18/2017, Every day, Daily Average",1422,1096,1844
"1116","Harborwalk, Waterfront, Boston","133","0 Old Mill Road, West Concord, Concord","11/18/2017 - 11/18/2017, Every day, Daily Average",2324,1928,2800
"1116","Harborwalk, Waterfront, Boston","134","Yankee Division Highway, Waltham","11/18/2017 - 11/18/2017, Every day, Daily Average",1606,1269,2032
"1116","Harborwalk, Waterfront, Boston","135","100 Orchard Street, Watertown","11/18/2017 - 11/18/2017, Every day, Daily Average",1246,937,1656
"1116","Harborwalk, Waterfront, Boston","136","200 Adams Avenue, West Newton, Newton","11/18/2017 - 11/18/2017, Every day, Daily Average",1116,835,1489
"1116","Harborwalk, Waterfront, Boston","137","0 Badger Road, Framingham","11/18/2017 - 11/18/2017, Every day, Daily Average",2047,1581,2649
"1116","Harborwalk, Waterfront, Boston","140","100 Montclair Avenue, Quincy","11/18/2017 - 11/18/2017, Every day, Daily Average",900,617,1310
