"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1116","Harborwalk, Waterfront, Boston","3","0 Flaherty Way, D Street / West Broadway, Boston","5/2/2018 - 5/2/2018, Every day, Daily Average",650,420,1004
"1116","Harborwalk, Waterfront, Boston","5","0 Queensberry Street, Fenway/Kenmore, Boston","5/2/2018 - 5/2/2018, Every day, Daily Average",777,491,1228
"1116","Harborwalk, Waterfront, Boston","13","200 Liberty Street, Braintree","5/2/2018 - 5/2/2018, Every day, Daily Average",1258,947,1670
"1116","Harborwalk, Waterfront, Boston","14","400 Cushing Street, Hingham","5/2/2018 - 5/2/2018, Every day, Daily Average",1647,1316,2060
"1116","Harborwalk, Waterfront, Boston","16","100 Kenrick Street, Oak Square, Boston","5/2/2018 - 5/2/2018, Every day, Daily Average",1444,1027,2028
"1116","Harborwalk, Waterfront, Boston","17","0 Maggi Road, Revere","5/2/2018 - 5/2/2018, Every day, Daily Average",1138,810,1597
"1116","Harborwalk, Waterfront, Boston","18","0 Lake Street, Billerica","5/2/2018 - 5/2/2018, Every day, Daily Average",1730,1309,2285
"1116","Harborwalk, Waterfront, Boston","19","200 Ocean Street, Lynn","5/2/2018 - 5/2/2018, Every day, Daily Average",1668,1232,2258
"1116","Harborwalk, Waterfront, Boston","20","0 Florence Street, Everett","5/2/2018 - 5/2/2018, Every day, Daily Average",1165,776,1747
"1116","Harborwalk, Waterfront, Boston","21","0 Canal Lane, Somerville","5/2/2018 - 5/2/2018, Every day, Daily Average",438,232,823
"1116","Harborwalk, Waterfront, Boston","25","0 Baldpate Road, Georgetown","5/2/2018 - 5/2/2018, Every day, Daily Average",2357,1761,3154
"1116","Harborwalk, Waterfront, Boston","27","100 Inner Belt Road, Inner Belt, Somerville","5/2/2018 - 5/2/2018, Every day, Daily Average",342,152,767
"1116","Harborwalk, Waterfront, Boston","28","0 Lincoln Road, Brookline","5/2/2018 - 5/2/2018, Every day, Daily Average",1291,890,1870
"1116","Harborwalk, Waterfront, Boston","29","100 Crosby Street, Arlington","5/2/2018 - 5/2/2018, Every day, Daily Average",1156,766,1742
"1116","Harborwalk, Waterfront, Boston","32","0 Gainsborough Street, Fenway/Kenmore, Boston","5/2/2018 - 5/2/2018, Every day, Daily Average",997,605,1640
"1116","Harborwalk, Waterfront, Boston","33","200 Prospect Avenue, Revere","5/2/2018 - 5/2/2018, Every day, Daily Average",718,435,1184
