"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1116","Harborwalk, Waterfront, Boston","3","0 Flaherty Way, D Street / West Broadway, Boston","4/6/2017 - 4/6/2017, Every day, Daily Average",794,479,1315
"1116","Harborwalk, Waterfront, Boston","5","0 Queensberry Street, Fenway/Kenmore, Boston","4/6/2017 - 4/6/2017, Every day, Daily Average",752,514,1098
"1116","Harborwalk, Waterfront, Boston","13","200 Liberty Street, Braintree","4/6/2017 - 4/6/2017, Every day, Daily Average",1292,1028,1623
"1116","Harborwalk, Waterfront, Boston","14","400 Cushing Street, Hingham","4/6/2017 - 4/6/2017, Every day, Daily Average",1653,1353,2018
"1116","Harborwalk, Waterfront, Boston","16","100 Kenrick Street, Oak Square, Boston","4/6/2017 - 4/6/2017, Every day, Daily Average",1560,1250,1945
"1116","Harborwalk, Waterfront, Boston","17","0 Maggi Road, Revere","4/6/2017 - 4/6/2017, Every day, Daily Average",890,623,1271
"1116","Harborwalk, Waterfront, Boston","18","0 Lake Street, Billerica","4/6/2017 - 4/6/2017, Every day, Daily Average",1709,1328,2198
"1116","Harborwalk, Waterfront, Boston","19","200 Ocean Street, Lynn","4/6/2017 - 4/6/2017, Every day, Daily Average",1912,1319,2771
"1116","Harborwalk, Waterfront, Boston","20","0 Florence Street, Everett","4/6/2017 - 4/6/2017, Every day, Daily Average",1060,731,1536
"1116","Harborwalk, Waterfront, Boston","21","0 Canal Lane, Somerville","4/6/2017 - 4/6/2017, Every day, Daily Average",478,259,881
"1116","Harborwalk, Waterfront, Boston","23","0 Ocallaghan Way, Lynn","4/6/2017 - 4/6/2017, Every day, Daily Average",1410,1032,1926
"1116","Harborwalk, Waterfront, Boston","27","100 Inner Belt Road, Inner Belt, Somerville","4/6/2017 - 4/6/2017, Every day, Daily Average",360,163,791
"1116","Harborwalk, Waterfront, Boston","28","0 Lincoln Road, Brookline","4/6/2017 - 4/6/2017, Every day, Daily Average",1302,957,1771
"1116","Harborwalk, Waterfront, Boston","29","100 Crosby Street, Arlington","4/6/2017 - 4/6/2017, Every day, Daily Average",1100,754,1604
